"","V1","V2","V3","V4","Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort","Cohort_label"
"67",-0.258777315933418,-0.0218926347322439,-0.142012058584606,0.0610608989194569,"C0124-S001NS01","Cow 01","Farm 24","Aug","2019-08-19","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"68",-0.252094546323524,0.026721521180044,-0.227680386742211,0.0550530937273055,"C0124-V201NS01","Cow 01","Farm 24","Nov","2019-11-14","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"69",-0.314211573969108,-0.0318158936477758,-0.172870880027746,-0.108256664585088,"C0124-V301NS01","Cow 01","Farm 24","Feb","2020-02-12","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"70",-0.291920163353731,-0.0736047548563743,-0.357493836740011,-0.00339274922648774,"C0125-S001NS01","Cow 01","Farm 25","Sep","2019-09-04","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"71",-0.250771182223858,0.00857940769074067,-0.223502133824453,0.0623412953027165,"C0125-V201NS01","Cow 01","Farm 25","Nov","2019-11-26","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"72",-0.243796552801397,0.161697499797283,0.0764907310219775,0.0337685351148796,"C0125-V301NS01","Cow 01","Farm 25","Feb","2020-02-20","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"73",-0.0855356369609786,-0.240788350086572,-0.0624876013038308,-0.0846904304614909,"C0126-S001NS01","Cow 01","Farm 26","Sep","2019-09-05","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"74",-0.236910193447403,-0.0843194885124445,-0.139887838209107,0.0200900830489726,"C0126-V201NS01","Cow 01","Farm 26","Nov","2019-11-25","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"75",-0.321702693331858,0.249217850125575,0.232188033571555,-0.0768549506336842,"C0126-V301NS01","Cow 01","Farm 26","Feb","2020-02-19","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"76",-0.241329140269105,0.0618495734785802,0.0970408927247986,-0.0262191740943187,"C0127-S001NS01","Cow 01","Farm 27","Sep","2019-09-04","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"77",-0.287397221832779,0.00751014890605376,-0.348271191578965,-0.0497582231946158,"C0127-V201NS01","Cow 01","Farm 27","Nov","2019-11-25","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"78",-0.249741742611314,-0.108350738467103,0.0404969989349241,0.0360041124134135,"C0127-V301NS01","Cow 01","Farm 27","Feb","2020-02-21","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"79",-0.248765834795062,-0.237685750276329,-0.167781526065469,-0.0683797531850503,"C0128-S001NS01","Cow 01","Farm 28","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"80",-0.295281676888691,0.000347354248267408,-0.27080602198672,0.0194136178343529,"C0128-V201NS01","Cow 01","Farm 28","Dec","2019-12-10","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"81",-0.189175322328644,-0.282945300100407,0.390068629385951,-0.0718802195707441,"C0129-S001NS01","Cow 01","Farm 29","Sep","2019-09-17","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"82",-0.341848266875681,0.139604573925281,0.168549334120199,-0.194296504317071,"C0129-V201NS01","Cow 01","Farm 29","Dec","2019-12-10","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"83",-0.285931260740295,0.0312126313369408,-0.327191727315967,0.0678033955413796,"C0133-V101NS01","Cow 01","Farm 33","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
