"","HumanSample","HumanCohort","SiteComparison","MeanBrayCurtis"
"246","D0115-V402NS01","Non-Farmer","Same Site",0.919826693591923
"247","D0115-V403NS01","Non-Farmer","Different Site",0.944783676633478
"248","D0115-V403NS01","Non-Farmer","Same Site",0.937294802309059
"249","D0116-S001NS01","Non-Farmer","Different Site",0.848576148232324
"250","D0116-S001NS01","Non-Farmer","Same Site",0.767738757809586
"251","D0116-V103NS01","Non-Farmer","Different Site",0.924368997411622
"252","D0116-V103NS01","Non-Farmer","Same Site",0.915591640199404
"253","D0116-V201NS01","Non-Farmer","Different Site",0.777902317934386
"254","D0116-V201NS01","Non-Farmer","Same Site",0.691856384273358
"255","D0116-V202NS01","Non-Farmer","Different Site",0.90841351886896
"256","D0116-V202NS01","Non-Farmer","Same Site",0.905522314751656
"257","D0116-V203NS01","Non-Farmer","Different Site",0.928136958586947
"258","D0116-V203NS01","Non-Farmer","Same Site",0.918930632977714
"259","D0116-V301NS01","Non-Farmer","Different Site",0.79842356822986
"260","D0116-V301NS01","Non-Farmer","Same Site",0.73739742784167
"261","D0116-V302NS01","Non-Farmer","Different Site",0.915574848388625
"262","D0116-V302NS01","Non-Farmer","Same Site",0.90402305390478
"263","D0116-V303NS01","Non-Farmer","Different Site",0.924658894983097
"264","D0116-V303NS01","Non-Farmer","Same Site",0.911007464268993
"265","D0116-V402NS01","Non-Farmer","Different Site",0.903814778174747
"266","D0116-V402NS01","Non-Farmer","Same Site",0.902775182510207
"267","D0117-F001NS01","Non-Farmer","Different Site",0.853593894092645
"268","D0117-F001NS01","Non-Farmer","Same Site",0.799188168508861
"269","D0117-S001NS01","Non-Farmer","Different Site",0.862751194145758
"270","D0117-S001NS01","Non-Farmer","Same Site",0.815065792082897
"271","D0117-V103NS01","Non-Farmer","Different Site",0.920605367887119
"272","D0117-V103NS01","Non-Farmer","Same Site",0.908237566295247
"273","D0117-V202NS01","Non-Farmer","Different Site",0.902695493449123
"274","D0117-V202NS01","Non-Farmer","Same Site",0.881002833775727
"275","D0117-V203NS01","Non-Farmer","Different Site",0.932326637364266
"276","D0117-V203NS01","Non-Farmer","Same Site",0.923368388228454
"277","D0117-V301NS01","Non-Farmer","Different Site",0.911748995730444
"278","D0117-V301NS01","Non-Farmer","Same Site",0.874368522280942
"279","D0117-V302NS01","Non-Farmer","Different Site",0.928212622392542
"280","D0117-V302NS01","Non-Farmer","Same Site",0.918400422155918
"281","D0117-V303NS01","Non-Farmer","Different Site",0.901501998675915
"282","D0117-V303NS01","Non-Farmer","Same Site",0.870878313118015
"283","D0117-V402NS01","Non-Farmer","Different Site",0.926567609673437
"284","D0117-V402NS01","Non-Farmer","Same Site",0.914000077406226
"285","D0119-S001NS01","Non-Farmer","Different Site",0.888674890209343
"286","D0119-S001NS01","Non-Farmer","Same Site",0.887528538813679
"287","D0119-V103NS01","Non-Farmer","Different Site",0.94289211676365
"288","D0119-V103NS01","Non-Farmer","Same Site",0.948446973232553
"289","D0119-V202NS01","Non-Farmer","Different Site",0.936803091489475
"290","D0119-V202NS01","Non-Farmer","Same Site",0.941151883837608
"291","D0119-V203NS01","Non-Farmer","Different Site",0.942262862228635
"292","D0119-V203NS01","Non-Farmer","Same Site",0.947735794376594
"293","D0119-V302NS01","Non-Farmer","Different Site",0.943737382394886
"294","D0119-V302NS01","Non-Farmer","Same Site",0.948838721759206
"295","D0119-V303NS01","Non-Farmer","Different Site",0.942498092356169
"296","D0119-V303NS01","Non-Farmer","Same Site",0.947976264271847
"297","D0119-V402NS01","Non-Farmer","Different Site",0.943626902551813
"298","D0119-V402NS01","Non-Farmer","Same Site",0.948844408846268
"299","D0119-V403NS01","Non-Farmer","Different Site",0.93988136818642
"300","D0119-V403NS01","Non-Farmer","Same Site",0.945229623449784
"301","D0120-S001NS01","Non-Farmer","Different Site",0.852902165584116
"302","D0120-S001NS01","Non-Farmer","Same Site",0.73760801225346
"303","D0120-V103NS01","Non-Farmer","Different Site",0.893071151868184
"304","D0120-V103NS01","Non-Farmer","Same Site",0.868592632789839
"305","D0120-V201NS01","Non-Farmer","Different Site",0.852320603735623
"306","D0120-V201NS01","Non-Farmer","Same Site",0.744517827594023
"307","D0120-V202NS01","Non-Farmer","Different Site",0.904367323283537
"308","D0120-V202NS01","Non-Farmer","Same Site",0.896773045309191
"309","D0120-V203NS01","Non-Farmer","Different Site",0.869207849750975
"310","D0120-V203NS01","Non-Farmer","Same Site",0.805070924529204
"311","D0120-V301NS01","Non-Farmer","Different Site",0.805677891068412
"312","D0120-V301NS01","Non-Farmer","Same Site",0.733987408025878
"313","D0120-V302NS01","Non-Farmer","Different Site",0.908649461385513
"314","D0120-V302NS01","Non-Farmer","Same Site",0.908318603001217
"315","D0120-V303NS01","Non-Farmer","Different Site",0.885361570549001
"316","D0120-V303NS01","Non-Farmer","Same Site",0.854066812147716
"317","D0120-V402NS01","Non-Farmer","Different Site",0.924484271352074
"318","D0120-V402NS01","Non-Farmer","Same Site",0.932419948236216
"319","D0120-V403NS01","Non-Farmer","Different Site",0.902571477382985
"320","D0120-V403NS01","Non-Farmer","Same Site",0.889947821298917
"321","D0121-S001NS01","Non-Farmer","Different Site",0.902043745077613
"322","D0121-S001NS01","Non-Farmer","Same Site",0.875878834918885
"323","D0121-V103NS01","Non-Farmer","Different Site",0.929944936622755
"324","D0121-V103NS01","Non-Farmer","Same Site",0.90999274997245
"325","D0121-V201NS01","Non-Farmer","Different Site",0.874108232096077
"326","D0121-V201NS01","Non-Farmer","Same Site",0.844769517104772
"327","D0121-V202NS01","Non-Farmer","Different Site",0.93186865158008
"328","D0121-V202NS01","Non-Farmer","Same Site",0.912433497801611
"329","D0121-V203NS01","Non-Farmer","Different Site",0.93691052724015
"330","D0121-V203NS01","Non-Farmer","Same Site",0.918798839845196
"331","D0121-V301NS01","Non-Farmer","Different Site",0.871108746949149
"332","D0121-V301NS01","Non-Farmer","Same Site",0.841169301382561
"333","D0121-V302NS01","Non-Farmer","Different Site",0.944628267947298
"334","D0121-V302NS01","Non-Farmer","Same Site",0.92710128008063
"335","D0121-V303NS01","Non-Farmer","Different Site",0.871637905024394
"336","D0121-V303NS01","Non-Farmer","Same Site",0.844767246851774
"337","D0121-V402NS01","Non-Farmer","Different Site",0.939224397881602
"338","D0121-V402NS01","Non-Farmer","Same Site",0.921931429581833
"339","D0121-V403NS01","Non-Farmer","Different Site",0.988068836619508
"340","D0121-V403NS01","Non-Farmer","Same Site",0.993685932469633
"341","D0122-S001NS01","Non-Farmer","Different Site",0.928182224984108
"342","D0122-S001NS01","Non-Farmer","Same Site",0.94873601342327
"343","D0123-S001NS01","Non-Farmer","Different Site",0.887958543260347
"344","D0123-S001NS01","Non-Farmer","Same Site",0.840595337222593
"345","D0123-V103NS01","Non-Farmer","Different Site",0.865140820966955
"346","D0123-V103NS01","Non-Farmer","Same Site",0.756128619305897
"347","D0123-V201NS01","Non-Farmer","Different Site",0.831048540619541
"348","D0123-V201NS01","Non-Farmer","Same Site",0.760135934165989
"349","D0123-V202NS01","Non-Farmer","Different Site",0.866609697844226
"350","D0123-V202NS01","Non-Farmer","Same Site",0.841543762644441
"351","D0123-V203NS01","Non-Farmer","Different Site",0.882200239211974
"352","D0123-V203NS01","Non-Farmer","Same Site",0.78399002721198
"353","D0123-V301NS01","Non-Farmer","Different Site",0.835250667838499
"354","D0123-V301NS01","Non-Farmer","Same Site",0.708797204470365
"355","D0123-V302NS01","Non-Farmer","Different Site",0.869063343667731
"356","D0123-V302NS01","Non-Farmer","Same Site",0.75702781010487
"357","D0123-V303NS01","Non-Farmer","Different Site",0.906679830883969
"358","D0123-V303NS01","Non-Farmer","Same Site",0.815866946332309
"359","D0123-V402NS01","Non-Farmer","Different Site",0.885724931861234
"360","D0123-V402NS01","Non-Farmer","Same Site",0.783149088016975
"361","D0123-V403NS01","Non-Farmer","Different Site",0.926599784344176
"362","D0123-V403NS01","Non-Farmer","Same Site",0.831248464840321
"363","D0124-S001NS01","Non-Farmer","Different Site",0.8598674516817
"364","D0124-S001NS01","Non-Farmer","Same Site",0.932340054282439
"365","D0124-V103NS01","Non-Farmer","Different Site",0.901347288767403
"366","D0124-V103NS01","Non-Farmer","Same Site",0.936840585342671
"367","D0124-V201NS01","Non-Farmer","Different Site",0.896995253369356
"368","D0124-V201NS01","Non-Farmer","Same Site",0.932969277387092
"369","D0124-V202NS01","Non-Farmer","Different Site",0.875213951002277
"370","D0124-V202NS01","Non-Farmer","Same Site",0.929208839968857
"371","D0124-V203NS01","Non-Farmer","Different Site",0.93749826865581
"372","D0124-V203NS01","Non-Farmer","Same Site",0.95969168410723
"373","D0124-V301NS01","Non-Farmer","Different Site",0.866962059867408
"374","D0124-V301NS01","Non-Farmer","Same Site",0.915275802925494
"375","D0124-V302NS01","Non-Farmer","Different Site",0.877821533617941
"376","D0124-V302NS01","Non-Farmer","Same Site",0.931143188799361
"377","D0124-V303NS01","Non-Farmer","Different Site",0.935254804478153
"378","D0124-V303NS01","Non-Farmer","Same Site",0.956749972351864
"379","D0124-V402NS01","Non-Farmer","Different Site",0.896341019079979
"380","D0124-V402NS01","Non-Farmer","Same Site",0.927236236336825
"381","D0124-V403NS01","Non-Farmer","Different Site",0.882137415665807
"382","D0124-V403NS01","Non-Farmer","Same Site",0.907981777245351
"383","D0125-V102NS01","Non-Farmer","Different Site",0.927719474910359
"384","D0125-V102NS01","Non-Farmer","Same Site",0.962385975677645
"385","D0125-V103NS01","Non-Farmer","Different Site",0.931496502707596
"386","D0125-V103NS01","Non-Farmer","Same Site",0.966331670935211
"387","D0125-V201NS01","Non-Farmer","Different Site",0.855950571230194
"388","D0125-V201NS01","Non-Farmer","Same Site",0.927350162653892
"389","D0125-V202NS01","Non-Farmer","Different Site",0.934828346268342
"390","D0125-V202NS01","Non-Farmer","Same Site",0.966779081587304
"391","D0125-V203NS01","Non-Farmer","Different Site",0.945004547146343
"392","D0125-V203NS01","Non-Farmer","Same Site",0.967469697704365
"393","D0125-V302NS01","Non-Farmer","Different Site",0.935281072660459
"394","D0125-V302NS01","Non-Farmer","Same Site",0.969544042367203
"395","D0125-V303NS01","Non-Farmer","Different Site",0.991769406192604
"396","D0125-V303NS01","Non-Farmer","Same Site",0.989821749625516
"397","D0125-V402NS01","Non-Farmer","Different Site",0.917431223213911
"398","D0125-V402NS01","Non-Farmer","Same Site",0.955240700480027
"399","D0126-V102NS01","Non-Farmer","Different Site",0.905231300839483
"400","D0126-V102NS01","Non-Farmer","Same Site",0.933520386561342
"401","D0126-V103NS01","Non-Farmer","Different Site",0.932817019853892
"402","D0126-V103NS01","Non-Farmer","Same Site",0.965597786072151
"403","D0126-V202NS01","Non-Farmer","Different Site",0.907035601971829
"404","D0126-V202NS01","Non-Farmer","Same Site",0.931685748960028
"405","D0126-V203NS01","Non-Farmer","Different Site",0.918736009581778
"406","D0126-V203NS01","Non-Farmer","Same Site",0.947587189272318
"407","D0126-V301NS01","Non-Farmer","Different Site",0.806860795325139
