"Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort","Richness"
"C0204-W001NS01","Cow 02","Farm 04","Mar","2019-03-28","NASAL SWAB","Spring","Year 1","Cow",167
"C0205-P001NS01","Cow 02","Farm 05","Jun","2019-06-05","NASAL SWAB","Summer","Year 1","Cow",41
"C0205-S001NS01","Cow 02","Farm 05","Sep","2019-09-11","NASAL SWAB","Autumn","Year 1","Cow",88
"C0205-W001NS01","Cow 02","Farm 05","Apr","2019-04-02","NASAL SWAB","Spring","Year 1","Cow",69
"C0206-F001NS01","Cow 02","Farm 06","Sep","2019-09-25","NASAL SWAB","Autumn","Year 1","Cow",102
"C0206-P001NS01","Cow 02","Farm 06","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow",104
"C0206-S001NS01","Cow 02","Farm 06","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow",66
"C0207-F001NS01","Cow 02","Farm 07","Oct","2019-10-01","NASAL SWAB","Autumn","Year 1","Cow",89
"C0207-P001NS01","Cow 02","Farm 07","Apr","2019-04-16","NASAL SWAB","Spring","Year 1","Cow",67
"C0207-S001NS01","Cow 02","Farm 07","Jun","2019-06-18","NASAL SWAB","Summer","Year 1","Cow",41
"C0207-V401NS01","Cow 02","Farm 07","Dec","2019-12-17","NASAL SWAB","Winter","Year 1","Cow",135
"C0208-P001NS01","Cow 02","Farm 08","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow",51
"C0209-F001NS01","Cow 02","Farm 09","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow",59
"C0209-S001NS01","Cow 02","Farm 09","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow",114
"C0210-F001NS01","Cow 02","Farm 10","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow",50
"C0210-P001NS01","Cow 02","Farm 10","May","2019-05-06","NASAL SWAB","Spring","Year 1","Cow",69
"C0210-S001NS01","Cow 02","Farm 10","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow",108
"C0210-V401NS01","Cow 02","Farm 10","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Cow",101
"C0211-F001NS01","Cow 02","Farm 11","Oct","2019-10-23","NASAL SWAB","Autumn","Year 1","Cow",81
"C0211-P001NS01","Cow 02","Farm 11","May","2019-05-08","NASAL SWAB","Spring","Year 1","Cow",50
"C0211-S001NS01","Cow 02","Farm 11","Aug","2019-08-07","NASAL SWAB","Summer","Year 1","Cow",96
"C0212-P001NS01","Cow 02","Farm 12","May","2019-05-10","NASAL SWAB","Spring","Year 1","Cow",81
"C0212-S001NS01","Cow 02","Farm 12","Aug","2019-08-14","NASAL SWAB","Summer","Year 1","Cow",167
"C0212-V301NS01","Cow 02","Farm 12","Nov","2019-11-11","NASAL SWAB","Autumn","Year 1","Cow",118
"C0212-V401NS01","Cow 02","Farm 12","Feb","2020-02-06","NASAL SWAB","Winter","Year 1","Cow",140
"C0214-P001NS01","Cow 02","Farm 14","May","2019-05-29","NASAL SWAB","Spring","Year 1","Cow",59
"C0214-S001NS01","Cow 02","Farm 14","Aug","2019-08-23","NASAL SWAB","Summer","Year 1","Cow",143
"C0214-V301NS01","Cow 02","Farm 14","Nov","2019-11-19","NASAL SWAB","Autumn","Year 1","Cow",140
"C0214-V401NS01","Cow 02","Farm 14","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow",94
"C0215-P001NS01","Cow 02","Farm 15","May","2019-05-30","NASAL SWAB","Spring","Year 1","Cow",125
"C0215-S001NS01","Cow 02","Farm 15","Aug","2019-08-22","NASAL SWAB","Summer","Year 1","Cow",144
"C0215-V301NS01","Cow 02","Farm 15","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Cow",118
"C0215-V401NS01","Cow 02","Farm 15","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow",128
"C0216-F001NS01","Cow 02","Farm 16","Oct","2019-10-16","NASAL SWAB","Autumn","Year 1","Cow",90
"C0216-P001NS01","Cow 02","Farm 16","Jul","2019-07-23","NASAL SWAB","Summer","Year 1","Cow",103
"C0216-V301NS01","Cow 02","Farm 16","Jan","2020-01-08","NASAL SWAB","Winter","Year 1","Cow",77
"C0217-F001NS01","Cow 02","Farm 17","Sep","2019-09-19","NASAL SWAB","Autumn","Year 1","Cow",78
"C0217-S001NS01","Cow 02","Farm 17","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow",55
"C0217-V301NS01","Cow 02","Farm 17","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow",79
